orig path,orig slack,orig cycles,exp path,exp slack,exp cycles,delta slack,start point,end point,source clk,destination clock,delta classification
34338,0.0127,0,82156,0.0104,0,0.0023,c/unit_17/subblock/reg[59],d/branch/stream/reg_144[21],zclk,mclk,degraded
24530,0.0148,0,63728,0.0189,0,-0.0041,c/unit_20/subblock/reg[24],d/branch/stream/reg_175[6],mclk,yclk,improved
31318,0.0037,0,27055,0.0037,0,0.0,c/unit_13/subblock/reg[61],d/branch/stream/reg_120[0],zclk,zclk,no change
75174,0.0021,0,88463,0.0021,0,0.0,c/unit_12/subblock/reg[10],d/branch/stream/reg_135[39],yclk,mclk,no change
34002,0.0065,0,65372,0.0105,0,-0.004,c/unit_20/subblock/reg[50],d/branch/stream/reg_142[8],yclk,zclk,improved
29975,0.0192,0,21663,0.0261,0,-0.0069,c/unit_19/subblock/reg[61],d/branch/stream/reg_119[33],zclk,mclk,improved
73390,0.0046,0,96448,0.0087,0,-0.0041,c/unit_20/subblock/reg[17],d/branch/stream/reg_184[44],mclk,yclk,improved
64268,0.0021,0,37473,0.0021,0,0.0,c/unit_19/subblock/reg[27],d/branch/stream/reg_123[46],zclk,yclk,no change
87480,0.012,0,56045,0.012,0,0.0,c/unit_15/subblock/reg[24],d/branch/stream/reg_127[36],zclk,zclk,no change
78539,0.0146,0,33003,0.0243,0,-0.0097,c/unit_15/subblock/reg[28],d/branch/stream/reg_101[15],zclk,zclk,improved
32891,0.0125,0,25912,0.0141,0,-0.0016,c/unit_16/subblock/reg[30],d/branch/stream/reg_105[3],yclk,yclk,improved
20398,0.0125,0,35874,0.0136,0,-0.0011,c/unit_11/subblock/reg[57],d/branch/stream/reg_160[48],mclk,zclk,improved
63152,0.0103,0,87413,0.0147,0,-0.0044,c/unit_17/subblock/reg[34],d/branch/stream/reg_173[6],mclk,mclk,improved
31214,0.0029,0,63849,0.0029,0,0.0,c/unit_19/subblock/reg[4],d/branch/stream/reg_142[49],mclk,yclk,no change
35480,0.0121,0,80035,0.0099,0,0.0022,c/unit_11/subblock/reg[23],d/branch/stream/reg_199[8],yclk,yclk,degraded
23423,0.0165,0,67921,0.0121,0,0.0044,c/unit_11/subblock/reg[27],d/branch/stream/reg_184[53],yclk,zclk,degraded
42655,0.0026,0,95516,0.0072,0,-0.0046,c/unit_18/subblock/reg[15],d/branch/stream/reg_130[34],mclk,yclk,improved
36366,0.0037,0,79018,0.0098,0,-0.0061,c/unit_13/subblock/reg[17],d/branch/stream/reg_133[31],zclk,mclk,improved
73116,0.0191,0,22686,0.0175,0,0.0016,c/unit_13/subblock/reg[21],d/branch/stream/reg_193[22],yclk,yclk,degraded
76646,0.0019,0,25987,-0.0071,0,0.009,c/unit_15/subblock/reg[32],d/branch/stream/reg_140[55],zclk,mclk,degraded
76236,0.0123,0,51881,0.0123,0,0.0,c/unit_14/subblock/reg[0],d/branch/stream/reg_166[24],yclk,zclk,no change
59433,0.0089,0,61960,0.0138,0,-0.0049,c/unit_14/subblock/reg[37],d/branch/stream/reg_138[23],mclk,mclk,improved
65384,0.0107,0,56041,0.0041,0,0.0066,c/unit_12/subblock/reg[52],d/branch/stream/reg_194[11],zclk,zclk,degraded
35526,0.0045,0,25408,0.0045,0,0.0,c/unit_16/subblock/reg[31],d/branch/stream/reg_143[58],zclk,zclk,no change
23088,0.0149,0,25608,0.0243,0,-0.0094,c/unit_19/subblock/reg[42],d/branch/stream/reg_157[46],mclk,zclk,improved
75720,0.0172,0,61252,0.0269,0,-0.0097,c/unit_15/subblock/reg[24],d/branch/stream/reg_108[56],yclk,yclk,improved
79102,0.0081,0,21307,0.0172,0,-0.0091,c/unit_15/subblock/reg[60],d/branch/stream/reg_115[43],mclk,zclk,improved
26885,0.0152,0,64752,0.019,0,-0.0038,c/unit_14/subblock/reg[22],d/branch/stream/reg_161[58],zclk,zclk,improved
71213,0.0086,0,24138,0.0169,0,-0.0083,c/unit_20/subblock/reg[1],d/branch/stream/reg_159[40],zclk,zclk,improved
68666,0.0119,0,85675,0.0082,0,0.0037,c/unit_20/subblock/reg[49],d/branch/stream/reg_170[4],zclk,zclk,degraded
44113,0.0185,0,54832,0.0127,0,0.0058,c/unit_17/subblock/reg[58],d/branch/stream/reg_179[58],yclk,yclk,degraded
39028,0.012,0,55610,0.012,0,0.0,c/unit_16/subblock/reg[63],d/branch/stream/reg_168[32],zclk,mclk,no change
23914,0.0134,0,83664,0.0036,0,0.0098,c/unit_17/subblock/reg[30],d/branch/stream/reg_148[13],mclk,zclk,degraded
23908,0.0017,0,71875,0.0017,0,0.0,c/unit_16/subblock/reg[18],d/branch/stream/reg_121[15],mclk,mclk,no change
29387,0.0192,0,35901,0.0287,0,-0.0095,c/unit_15/subblock/reg[18],d/branch/stream/reg_169[11],mclk,yclk,improved
80484,0.0142,0,45346,0.0218,0,-0.0076,c/unit_18/subblock/reg[2],d/branch/stream/reg_105[35],mclk,mclk,improved
24532,0.0129,0,32134,0.0042,0,0.0087,c/unit_20/subblock/reg[0],d/branch/stream/reg_130[42],zclk,mclk,degraded
81993,0.0043,0,89271,0.0043,0,0.0,c/unit_15/subblock/reg[50],d/branch/stream/reg_129[3],zclk,zclk,no change
99933,0.0043,0,23699,0.0083,0,-0.004,c/unit_20/subblock/reg[34],d/branch/stream/reg_118[2],yclk,yclk,improved
54690,0.0093,0,65666,0.0054,0,0.0039,c/unit_17/subblock/reg[1],d/branch/stream/reg_144[20],mclk,mclk,degraded
31850,0.0113,0,47409,0.0113,0,0.0,c/unit_20/subblock/reg[48],d/branch/stream/reg_147[7],mclk,mclk,no change
97794,0.0149,0,39310,0.0203,0,-0.0054,c/unit_14/subblock/reg[52],d/branch/stream/reg_115[27],yclk,yclk,improved
65087,0.0183,0,81258,0.0137,0,0.0046,c/unit_20/subblock/reg[55],d/branch/stream/reg_190[41],zclk,yclk,degraded
26696,0.0053,0,21661,0.0112,0,-0.0059,c/unit_11/subblock/reg[60],d/branch/stream/reg_191[57],mclk,zclk,improved
21675,0.0137,0,85746,0.0059,0,0.0078,c/unit_19/subblock/reg[26],d/branch/stream/reg_168[2],zclk,zclk,degraded
63055,0.016,0,30381,0.0125,0,0.0035,c/unit_11/subblock/reg[16],d/branch/stream/reg_178[46],zclk,yclk,degraded
23251,0.0188,0,64822,0.0123,0,0.0065,c/unit_14/subblock/reg[56],d/branch/stream/reg_191[44],zclk,mclk,degraded
26630,0.006,0,70735,0.008,0,-0.002,c/unit_17/subblock/reg[47],d/branch/stream/reg_136[36],yclk,mclk,improved
94741,0.0043,0,74710,0.0043,0,0.0,c/unit_19/subblock/reg[20],d/branch/stream/reg_133[53],mclk,mclk,no change
23537,0.0075,0,90680,-0.0005,0,0.008,c/unit_19/subblock/reg[44],d/branch/stream/reg_131[58],zclk,mclk,degraded
82336,0.0021,0,51562,-0.0007,0,0.0028,c/unit_14/subblock/reg[56],d/branch/stream/reg_142[41],zclk,mclk,degraded
25573,0.0079,0,51292,0.0119,0,-0.004,c/unit_12/subblock/reg[47],d/branch/stream/reg_189[55],mclk,mclk,improved
95824,0.0192,0,93909,0.0128,0,0.0064,c/unit_18/subblock/reg[48],d/branch/stream/reg_143[10],yclk,mclk,degraded
44683,0.0183,0,32767,0.0183,0,0.0,c/unit_18/subblock/reg[3],d/branch/stream/reg_109[2],zclk,zclk,no change
97176,0.0057,0,24945,0.0057,0,0.0,c/unit_14/subblock/reg[43],d/branch/stream/reg_126[28],zclk,mclk,no change
56362,0.0025,0,77970,0.0025,0,0.0,c/unit_18/subblock/reg[26],d/branch/stream/reg_156[4],yclk,yclk,no change
43991,0.0056,0,37626,0.0056,0,0.0,c/unit_20/subblock/reg[41],d/branch/stream/reg_109[6],zclk,yclk,no change
41083,0.0108,0,99515,0.0108,0,0.0,c/unit_18/subblock/reg[8],d/branch/stream/reg_116[9],mclk,mclk,no change
41739,0.0162,0,77141,0.0162,0,0.0,c/unit_14/subblock/reg[13],d/branch/stream/reg_132[15],mclk,zclk,no change
26262,0.0169,0,63863,0.0169,0,0.0,c/unit_14/subblock/reg[33],d/branch/stream/reg_137[11],yclk,zclk,no change
63566,0.0063,0,26457,0.0063,0,0.0,c/unit_11/subblock/reg[17],d/branch/stream/reg_152[59],zclk,mclk,no change
46667,0.0144,0,47733,0.0196,0,-0.0052,c/unit_19/subblock/reg[55],d/branch/stream/reg_122[27],zclk,zclk,improved
85168,0.0154,0,32917,0.0154,0,0.0,c/unit_17/subblock/reg[3],d/branch/stream/reg_196[23],mclk,zclk,no change
59689,0.012,0,79171,0.0053,0,0.0067,c/unit_18/subblock/reg[47],d/branch/stream/reg_118[21],zclk,mclk,degraded
