orig path,orig slack,orig cycles,exp path,exp slack,exp cycles,delta slack,start point,end point,source clk,destination clock,delta classification
95220,0.0186,0,60024,0.0186,0,0.0,c/unit_11/subblock/reg[26],d/branch/stream/reg_123[21],yclk,yclk,no change
66356,0.0013,0,81117,0.0103,0,-0.009,c/unit_15/subblock/reg[29],d/branch/stream/reg_180[30],yclk,zclk,improved
31792,0.0041,0,48024,0.0041,0,0.0,c/unit_13/subblock/reg[51],d/branch/stream/reg_140[33],mclk,yclk,no change
92510,0.0094,0,74606,0.0094,0,0.0,c/unit_13/subblock/reg[62],d/branch/stream/reg_187[27],mclk,mclk,no change
31521,0.0078,0,28350,0.0078,0,0.0,c/unit_16/subblock/reg[61],d/branch/stream/reg_135[41],yclk,zclk,no change
35252,0.011,0,66822,0.0135,0,-0.0025,c/unit_15/subblock/reg[39],d/branch/stream/reg_185[41],yclk,yclk,improved
96931,0.0043,0,80661,-0.004,0,0.0083,c/unit_15/subblock/reg[24],d/branch/stream/reg_115[25],mclk,zclk,degraded
93316,0.0091,0,25079,0.0079,0,0.0012,c/unit_14/subblock/reg[2],d/branch/stream/reg_156[56],yclk,zclk,degraded
32595,0.0013,0,77212,0.0013,0,0.0,c/unit_18/subblock/reg[37],d/branch/stream/reg_103[57],yclk,mclk,no change
64267,0.0085,0,52967,0.0128,0,-0.0043,c/unit_16/subblock/reg[15],d/branch/stream/reg_161[12],zclk,mclk,improved
52304,0.0053,0,88384,0.0053,0,0.0,c/unit_14/subblock/reg[58],d/branch/stream/reg_141[0],zclk,yclk,no change
22255,0.017,0,86044,0.0199,0,-0.0029,c/unit_16/subblock/reg[53],d/branch/stream/reg_178[24],mclk,yclk,improved
85261,0.0151,0,77442,0.0151,0,0.0,c/unit_18/subblock/reg[18],d/branch/stream/reg_176[27],zclk,zclk,no change
63128,0.0038,0,44685,0.0038,0,0.0,c/unit_11/subblock/reg[2],d/branch/stream/reg_179[5],mclk,mclk,no change
33109,0.0111,0,59744,0.0154,0,-0.0043,c/unit_11/subblock/reg[20],d/branch/stream/reg_156[24],zclk,yclk,improved
21969,0.0125,0,59634,0.0036,0,0.0089,c/unit_19/subblock/reg[52],d/branch/stream/reg_106[37],mclk,zclk,degraded
49359,0.0146,0,49084,0.0146,0,0.0,c/unit_12/subblock/reg[21],d/branch/stream/reg_180[7],zclk,yclk,no change
71566,0.0152,0,94874,0.0246,0,-0.0094,c/unit_12/subblock/reg[20],d/branch/stream/reg_174[61],yclk,mclk,improved
51697,0.0059,0,65229,-0.0033,0,0.0092,c/unit_19/subblock/reg[6],d/branch/stream/reg_129[28],yclk,yclk,degraded
24143,0.0153,0,95940,0.0067,0,0.0086,c/unit_11/subblock/reg[39],d/branch/stream/reg_161[58],yclk,zclk,degraded
55061,0.0089,0,75570,0.0006,0,0.0083,c/unit_16/subblock/reg[55],d/branch/stream/reg_142[44],zclk,zclk,degraded
64975,0.0175,0,87480,0.0187,0,-0.0012,c/unit_17/subblock/reg[43],d/branch/stream/reg_180[30],yclk,zclk,improved
43199,0.0096,0,88278,0.0115,0,-0.0019,c/unit_17/subblock/reg[22],d/branch/stream/reg_175[0],mclk,yclk,improved
66671,0.0081,0,84830,0.0098,0,-0.0017,c/unit_17/subblock/reg[45],d/branch/stream/reg_142[5],yclk,yclk,improved
30355,0.0087,0,76736,0.0008,0,0.0079,c/unit_12/subblock/reg[25],d/branch/stream/reg_159[46],mclk,zclk,degraded
51134,0.0157,0,79535,0.0242,0,-0.0085,c/unit_12/subblock/reg[20],d/branch/stream/reg_195[23],yclk,zclk,improved
97759,0.0144,0,94773,0.0144,0,0.0,c/unit_16/subblock/reg[52],d/branch/stream/reg_132[23],zclk,mclk,no change
44935,0.0173,0,80431,0.0137,0,0.0036,c/unit_19/subblock/reg[34],d/branch/stream/reg_103[58],zclk,zclk,degraded
93666,0.0194,0,37315,0.0154,0,0.004,c/unit_15/subblock/reg[7],d/branch/stream/reg_138[35],mclk,yclk,degraded
67486,0.0013,0,58126,-0.0016,0,0.0029,c/unit_16/subblock/reg[29],d/branch/stream/reg_112[17],zclk,mclk,degraded
41395,0.0022,0,86834,-0.0011,0,0.0033,c/unit_12/subblock/reg[44],d/branch/stream/reg_139[49],zclk,zclk,degraded
64343,0.0113,0,35380,0.0194,0,-0.0081,c/unit_20/subblock/reg[24],d/branch/stream/reg_191[24],yclk,zclk,improved
39251,0.0119,0,97793,0.0119,0,0.0,c/unit_19/subblock/reg[39],d/branch/stream/reg_131[61],mclk,zclk,no change
33621,0.0181,0,27292,0.0197,0,-0.0016,c/unit_17/subblock/reg[17],d/branch/stream/reg_198[24],mclk,yclk,improved
